date,city,hpi
2011-03-31,Bangalore,105.522082318234
2011-06-30,Bangalore,116.9
2011-06-30,Bangalore,110.679615302802
2011-09-30,Bangalore,107.83392879311
2011-09-30,Bangalore,116.0
2011-12-31,Bangalore,146.1
2011-12-31,Bangalore,138.595969855702
2012-03-31,Bangalore,140.6
2012-03-31,Bangalore,133.346996901322
2012-06-30,Bangalore,140.2
2012-06-30,Bangalore,133.327478075255
2012-09-30,Bangalore,136.579402427562
2012-09-30,Bangalore,143.0
2012-12-31,Bangalore,147.9
2012-12-31,Bangalore,141.175490592049
2013-03-31,Bangalore,141.93559550841
2013-03-31,Bangalore,148.3
2013-06-30,Bangalore,142.266365501558
2013-09-30,Bangalore,150.373376948106
2013-12-31,Bangalore,169.256843075755
2014-03-31,Bangalore,184.285621410149
2014-06-30,Bangalore,180.4
2014-09-30,Bangalore,174.6
2014-12-31,Bangalore,183.081870365534
2015-03-31,Bangalore,202.701601259211
2015-06-30,Bangalore,208.418713665081
2015-09-30,Bangalore,208.005441387247
2015-12-31,Bangalore,205.923438184647
2016-03-31,Bangalore,190.019079689007
2016-06-30,Bangalore,220.607904651615
2016-09-30,Bangalore,220.114392972825
2016-12-31,Bangalore,225.138915387232
2017-03-31,Bangalore,218.345767942208
2017-06-30,Bangalore,227.657666783284
2017-09-30,Bangalore,221.000240063181
2017-12-31,Bangalore,225.636750992529
2018-03-31,Bangalore,232.933162923325
2018-06-30,Bangalore,244.842538171752
2018-09-30,Bangalore,245.78542647892
2018-12-31,Bangalore,243.248097781263
2019-03-31,Bangalore,256.148248310568
2019-06-30,Bangalore,265.984875123596
2019-09-30,Bangalore,273.578562396396
2019-12-31,Bangalore,283.8
2020-03-31,Bangalore,273.838538570751
2020-06-30,Bangalore,308.756307241085
2020-09-30,Bangalore,297.717816279726
2020-12-31,Bangalore,319.133453944047
2021-03-31,Bangalore,316.77965126751
2021-06-30,Bangalore,333.736102161151
2021-09-30,Bangalore,313.169021198517
2021-12-31,Bangalore,315.923913864777
2022-03-31,Bangalore,281.009299614985
2022-06-30,Bangalore,320.350421092679
2022-09-30,Bangalore,324.476120578571
2022-12-31,Bangalore,331.082125131167
2023-03-31,Bangalore,326.848809331222
2023-06-30,Bangalore,336.436685559204
2023-09-30,Bangalore,331.077452288088
2023-12-31,Bangalore,352.058698659395
2024-03-31,Bangalore,355.669232546972
2024-06-30,Bangalore,364.817776317588
2024-09-30,Bangalore,360.108892207036
2024-12-31,Bangalore,362.441387983541
2025-03-31,Bangalore,375.51404106394
,Bangalore,
,Bangalore,
,Bangalore,
,Bangalore,
,Bangalore,
,Bangalore,
,Bangalore,
2009-03-31,Chennai,100.0
2009-06-30,Chennai,96.1
2009-09-30,Chennai,83.9
2009-12-31,Chennai,106.8
2010-03-31,Chennai,118.2
2010-06-30,Chennai,138.2
2010-06-30,Chennai,102.731254249705
2010-09-30,Chennai,109.501643212766
2010-09-30,Chennai,135.7
2010-12-31,Chennai,118.4
2010-12-31,Chennai,94.647710622995
2011-03-31,Chennai,106.8
2011-03-31,Chennai,93.119391914535
2011-06-30,Chennai,106.3
2011-06-30,Chennai,101.157996423367
2011-09-30,Chennai,110.366074613511
2011-09-30,Chennai,113.9
2011-12-31,Chennai,120.3
2011-12-31,Chennai,110.737445672815
2012-03-31,Chennai,117.0
2012-03-31,Chennai,108.16511021208
2012-06-30,Chennai,133.9
2012-06-30,Chennai,119.207724057846
2012-09-30,Chennai,117.817860928035
2012-09-30,Chennai,129.5
2012-12-31,Chennai,149.2
2012-12-31,Chennai,137.554110368986
2013-03-31,Chennai,137.430064210373
2013-03-31,Chennai,148.0
2013-06-30,Chennai,138.262897492615
2013-09-30,Chennai,149.975688370069
2013-12-31,Chennai,174.27616103553
2014-03-31,Chennai,179.266495129578
2014-06-30,Chennai,179.2
2014-09-30,Chennai,172.8
2014-12-31,Chennai,187.336274800678
2015-03-31,Chennai,188.008500678033
2015-06-30,Chennai,186.043029877196
2015-09-30,Chennai,194.240045703386
2015-12-31,Chennai,202.686362292275
2016-03-31,Chennai,210.734586044156
2016-06-30,Chennai,230.574956179572
2016-09-30,Chennai,229.260379084097
2016-12-31,Chennai,223.966734209431
2017-03-31,Chennai,208.926347244868
2017-06-30,Chennai,204.832407485164
2017-09-30,Chennai,213.285635091495
2017-12-31,Chennai,216.981196945007
2018-03-31,Chennai,227.157779063043
2018-06-30,Chennai,224.528023915499
2018-09-30,Chennai,238.472409550652
2018-12-31,Chennai,246.946370688428
2019-03-31,Chennai,255.254415473869
2019-06-30,Chennai,256.636334417281
2019-09-30,Chennai,257.067806532411
2019-12-31,Chennai,280.9
2020-03-31,Chennai,281.5
2020-06-30,Chennai,275.21104002206
2020-09-30,Chennai,262.762482603866
2020-12-31,Chennai,278.825357789507
2021-03-31,Chennai,279.3
2021-06-30,Chennai,261.2
2021-09-30,Chennai,268.743022316692
2021-12-31,Chennai,267.5
2022-03-31,Chennai,277.036249504966
2022-06-30,Chennai,280.180939254066
2022-09-30,Chennai,273.409164617644
2022-12-31,Chennai,275.260074522334
2023-03-31,Chennai,280.590339482249
2023-06-30,Chennai,285.786312807791
2023-09-30,Chennai,291.113200716389
2023-12-31,Chennai,298.413981023254
2024-03-31,Chennai,299.142198945557
2024-06-30,Chennai,300.620368624135
2024-09-30,Chennai,312.131105875744
2024-12-31,Chennai,315.239897710101
2025-03-31,Chennai,320.749220930645
,Chennai,
,Chennai,
,Chennai,
,Chennai,
,Chennai,
,Chennai,
,Chennai,
2009-03-31,Delhi,100.0
2009-06-30,Delhi,101.0
2009-09-30,Delhi,100.9
2009-12-31,Delhi,99.7
2010-03-31,Delhi,109.5
2010-06-30,Delhi,122.3
2010-06-30,Delhi,100.721966276523
2010-09-30,Delhi,95.560697035579
2010-09-30,Delhi,116.1
2010-12-31,Delhi,111.4
2010-12-31,Delhi,92.10516823302
2011-03-31,Delhi,135.2
2011-03-31,Delhi,112.058101469233
2011-06-30,Delhi,152.8
2011-06-30,Delhi,126.819483612892
2011-09-30,Delhi,124.79857709159
2011-09-30,Delhi,153.0
2011-12-31,Delhi,168.6
2011-12-31,Delhi,136.740944764687
2012-03-31,Delhi,195.3
2012-03-31,Delhi,158.228663945772
2012-06-30,Delhi,217.3
2012-06-30,Delhi,177.29813120948
2012-09-30,Delhi,183.174675086252
2012-09-30,Delhi,225.2
2012-12-31,Delhi,247.8
2012-12-31,Delhi,200.70354115689
2013-03-31,Delhi,213.105559000595
2013-03-31,Delhi,259.2
2013-06-30,Delhi,214.79292130117
2013-09-30,Delhi,215.743205493485
2013-12-31,Delhi,211.073738266986
2014-03-31,Delhi,229.292315907176
2014-06-30,Delhi,241.7
2014-09-30,Delhi,251.0
2014-12-31,Delhi,273.209309361771
2015-03-31,Delhi,290.088087772425
2015-06-30,Delhi,296.469915566343
2015-09-30,Delhi,299.315978781509
2015-12-31,Delhi,300.006811098357
2016-03-31,Delhi,302.082459295904
2016-06-30,Delhi,305.709338054643
2016-09-30,Delhi,314.863964662827
2016-12-31,Delhi,314.56713996938
2017-03-31,Delhi,312.609818854186
2017-06-30,Delhi,341.919722332509
2017-09-30,Delhi,335.348755570373
2017-12-31,Delhi,335.592531325044
2018-03-31,Delhi,324.31684900976
2018-06-30,Delhi,341.565755791088
2018-09-30,Delhi,342.085873806283
2018-12-31,Delhi,346.664161562297
2019-03-31,Delhi,328.576527937142
2019-06-30,Delhi,342.842643813671
2019-09-30,Delhi,333.096351333719
2019-12-31,Delhi,329.37286363929
2020-03-31,Delhi,325.702052731292
2020-06-30,Delhi,319.776680325594
2020-09-30,Delhi,314.8698490116
2020-12-31,Delhi,329.37286363929
2021-03-31,Delhi,323.224571610217
2021-06-30,Delhi,314.970303423518
2021-09-30,Delhi,299.319098130911
2021-12-31,Delhi,327.737459494318
2022-03-31,Delhi,326.17237073302
2022-06-30,Delhi,311.95525548424
2022-09-30,Delhi,324.161070727713
2022-12-31,Delhi,336.788887826351
2023-03-31,Delhi,347.883246787505
2023-06-30,Delhi,358.306617421244
2023-09-30,Delhi,339.160660772043
2023-12-31,Delhi,340.607450709188
2024-03-31,Delhi,351.145297404473
2024-06-30,Delhi,352.19895177648
2024-09-30,Delhi,350.401842252501
2024-12-31,Delhi,346.197014298257
2025-03-31,Delhi,348.099473179416
,Delhi,
,Delhi,
,Delhi,
,Delhi,
,Delhi,
,Delhi,
,Delhi,
2009-03-31,Jaipur,100.0
2009-06-30,Jaipur,99.0
2009-09-30,Jaipur,112.7
2009-12-31,Jaipur,119.1
